"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
810,"2023-09-03 09:47:32","381744.8475","70.7523","1275192320","35574125568","1871331","10188","73.6917","11047144","572399644","1.19","1.02","0.95",0,0,13062,164,0,14,0,11,6,2,1,9,0
811,"2023-09-03 09:47:37","381748.93","70.7523","1275192320","35574334464","1873435","10188","73.6813","11047523","572410096","1.17","1.02","0.95",0,0,13078,164,0,12,0,12,8,2,1,9,0
812,"2023-09-03 09:47:42","381752.7225","70.7523","1275192320","35574621184","1875909","10188","73.6162","11047942","572421553","1.16","1.02","0.95",0,0,13095,170,0,19,0,10,5,2,1,9,0
813,"2023-09-03 09:47:46","381756.31","70.7523","1275192320","35574920192","1878055","10188","73.6855","11048461","572431784","1.07","1.01","0.95",0,0,13110,162,0,14,0,10,6,2,1,9,0
814,"2023-09-03 09:47:51","381760.1425","70.7523","1275192320","35575133184","1880159","10188","73.6492","11048862","572441183","1.14","1.02","0.95",0,0,13124,162,0,15,0,10,8,2,1,9,0
815,"2023-09-03 09:47:55","381763.9575","70.7523","1275192320","35575534592","1882263","10188","73.6592","11049265","572451745","1.05","1.01","0.95",0,0,13140,161,0,14,0,10,5,2,1,9,0
816,"2023-09-03 09:48:00","381767.9875","70.7523","1275192320","35575886848","1884737","10188","73.7335","11049643","572461219","1.05","1.01","0.95",0,0,13155,162,0,16,0,10,6,2,1,9,0
817,"2023-09-03 09:48:04","381772.0725","70.7523","1275192320","35576173568","1886841","10188","73.7012","11050052","572471921","1.05","1.01","0.95",0,0,13171,166,0,15,0,12,6,2,1,9,0
818,"2023-09-03 09:48:09","381775.815","70.7523","1275192320","35576464384","1889315","10188","73.7398","11050433","572481698","1.04","1.01","0.95",0,0,13187,165,0,15,0,12,8,2,1,9,0
819,"2023-09-03 09:48:13","381779.6575","70.7523","1275192320","35576783872","1891419","10188","73.7165","11050864","572493191","1.12","1.02","0.96",0,0,13203,165,0,15,0,12,8,2,1,9,0
820,"2023-09-03 09:48:18","381783.45","70.7523","1275192320","35576988672","1893565","10188","73.73","11051340","572504177","1.03","1","0.95",0,0,13220,169,0,19,0,8,6,2,1,9,0
821,"2023-09-03 09:48:23","381787.1425","70.7523","1275192320","35577263104","1896039","10188","73.6984","11051759","572516351","1.11","1.02","0.96",0,0,13238,164,0,12,0,10,7,2,1,9,0
822,"2023-09-03 09:48:27","381790.95","70.7523","1275192320","35577594880","1898555","10188","73.6939","11052144","572525992","1.02","1","0.95",0,0,13253,165,0,12,0,10,7,2,1,9,0
823,"2023-09-03 09:48:31","381794.5525","70.7523","1275192320","35578033152","1900659","10188","73.6343","11052572","572535687","1.1","1.02","0.96",0,0,13269,168,0,15,0,13,8,2,1,9,0
